Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
FINANŠU ANALĪTIĶIS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1700 - 2600 ,01.12.2023
PROGRAMMĒŠANAS INŽENIERIS,Swisscom DevOps Center Latvia SIA,"Raņķa dambis 30, Rīga",2000 - 4500 ,02.01.2024
VIRTUVES DARBINIEKS,"SIA ""SUSHI CLUB.LV""","Daugavas iela 27, Mārupe, Mārupes nov.",1300 - 1400 ,26.01.2026
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Braga""","Līgotnes - 8, Dikļi, Dikļu pag., Valmieras nov.",1373 ,30.11.2023
NAMDARIS,"SIA ""Tantum""","Ainaži, Limbažu nov.",1100 - 1500 ,31.12.2023
AUTOMOBIĻA VADĪTĀJS,"""LP express"", Sabiedrība ar ierobežotu atbildību","Jaunieši, Saurieši, Stopiņu pag., Ropažu nov.",1373 ,31.12.2024
PAVĀRS,"Risus nams, SIA","Baznīcas iela 2 k-3, Jūrmala",1277 - 1377 ,16.12.2023
MEŽA MAŠĪNU OPERATORS,"SIA ""VIDZEMES PRIVĀTMEŽI""",Cēsu nov.,1700 - 4000 ,27.11.2023
PAVĀRS,"Risus nams, SIA","Baznīcas iela 2 k-3, Jūrmala",1277 - 1377 ,16.12.2023
MEHĀNIĶIS (INŽENIERIS),"SIA ""BSC SERVISS""","Ādažu iela 2, Rīga",1500 - 2200 ,31.12.2023
PROGRAMMĒTĀJS,Visma Labs SIA,"Sporta iela 11, Rīga, vai Ventspils",4600 - 5500 ,15.01.2024
LOĢISTIKAS SPECIĀLISTS,"""EPS International"", SIA","Lielā iela 19 k-2 - 4E, Mārupe, Mārupes nov.",800 - 1200 ,30.12.2023
AUTOBUSA VADĪTĀJS,"""Nordeka"", Akciju sabiedrība","Bauska, Bauskas nov.",1200 - 1600 ,31.12.2023
VIRTUVES DARBINIEKS,"""Lage Ltd"" SIA","Lielirbes iela 29, Rīga,Mūkusalas iela 71, Rīga, Ieriķu iela 3, Rīga",690 ,31.12.2023
KONTAKTMETINĀTĀJS,ANTIKS PAINT SIA,"Flotes iela 13, Rīga",1380 - 1500 ,29.02.2024
ROKAS LOKMETINĀTĀJS (MMA),ANTIKS PAINT SIA,"Flotes iela 13, Rīga",1380 - 1500 ,29.02.2024
ELEKTRIĶIS,"SIA ""Robologic""","Brīvības iela 200C, Rīga",1600 - 2500 ,31.12.2023
Robotikas INŽENIERIS,"SIA ""Robologic""","Brīvības iela 200C, Rīga",1200 - 4000 ,31.12.2023
ROKAS LOKMETINĀTĀJS (MMA),SIA TOPO BŪVE,"Skanstes iela 25, Rīga",1373 ,31.01.2024
PALĪGSTRĀDNIEKS,SIA TOPO BŪVE,"Skanstes iela 25, Rīga",1373 ,31.01.2024
BETONĒTĀJS,SIA TOPO BŪVE,"Skanstes iela 25, Rīga",1373 ,31.01.2024
MŪRNIEKS,SIA TOPO BŪVE,"Skanstes iela 25, Rīga",1373 ,31.01.2024
AUDIOLOGOPĒDS,"SIA ""Rīgas veselības centrs""","Slimnīcas iela 2 - 1A, Rīga",1369 ,09.12.2023
Cauruļvadu MONTĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""ŪKS Tīkli""","Rīga, Rīgas rajons",1000 - 1300 ,31.12.2023
PAVĀRS,"""Lage Ltd"" SIA","Lielirbes iela 29, Rīga",690 ,31.12.2023
PAVĀRS,SIA LAGE GROUP,"Rīga, Krasta iela 46, LV-1003; Rīga, Brīvības gatve 372, LV-1006; Rīga, Duntes iela 19A, LV-1005; Rīga, Dzirnavu iela 67, LV-1011; Rīga, Kalēju iela 30, LV-1050; Rīga, Lielirbes iela 29, LV-1046; Maskavas iela 257, LV-1063",690 ,31.12.2023
Lidmašīnas komercPILOTS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",1373 - 2000 ,31.12.2023
Lidmašīnas komercPILOTS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",2000 - 2500 ,31.12.2023
METĀLMATERIĀLU METINĀTĀJS,"SIA ""ADEXTRA""","LATVIJA, Rītausmas iela 2B, Rīga",1373 - 1500 ,31.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Karnēlis""","Spriņģu iela 1, Līgatne, Cēsu nov.",1373 - 1800 ,29.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""EPS International"", SIA","Lielā iela 19 k-2 - 4E, Mārupe, Mārupes nov.",1373 ,31.12.2023
AUTOMOBIĻA VADĪTĀJS,"""LP express"", Sabiedrība ar ierobežotu atbildību","Jaunieši, Saurieši, Stopiņu pag., Ropažu nov.",1373 ,31.12.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""LP express"", Sabiedrība ar ierobežotu atbildību","Jaunieši, Saurieši, Stopiņu pag., Ropažu nov.",1373 ,31.12.2024
REMONTSTRĀDNIEKS,"SIA ""MZ Group""","Ģertrūdes iela 98, Rīga",1373 - 1500 ,31.12.2023
ĒKU CELTNIEKS,"Sabiedrība ar ierobežotu atbildību ""Braga""","Līgotnes - 8, Dikļi, Dikļu pag., Valmieras nov.",1373 ,30.11.2023
BĀRMENIS,"""Lage Ltd"" SIA","Rīga, Lielirbes iela 29, LV-1046; Rīga, Mūkusalas iela 71, LV-1004; Rīga, Ieriķu iela 3, LV-1084; Jūrmala, Jomas iela 72, LV-2015;",345 - 1035 ,31.12.2023
PAVĀRS,"""Lage Ltd"" SIA","Rīga, Lielirbes iela 29, LV-1046; Rīga, Mūkusalas iela 71, LV-1004; Rīga, Ieriķu iela 3, LV-1084; Jūrmala, Jomas iela 72, LV-2015;",345 ,31.12.2023
IEPIRKUMU SPECIĀLISTS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",2600 - 2800 ,01.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,BERHINT SIA,"Muižas iela 8, Ādaži, Ādažu nov.",1373 - 1500 ,31.03.2024
BŪVNIEKS,BERHINT SIA,"Muižas iela 8, Ādaži, Ādažu nov.",1373 - 1500 ,31.03.2024
GĀZMETINĀTĀJS (OAW),BERHINT SIA,"Muižas iela 8, Ādaži, Ādažu nov.",1373 - 1500 ,31.05.2024
PAVĀRA PALĪGS,BERHINT SIA,"Rīgas gatve 5A, Ādaži, Ādažu nov.",1373 - 1450 ,31.12.2023
AUTOMEHĀNIĶA PALĪGS,BERHINT SIA,"Muižas iela 8, Ādaži, Ādažu nov.",1373 - 1500 ,31.01.2024
BŪVSTRĀDNIEKS,"SIA ""LATIBŪVE""","Stabu iela 116, Rīga",1277 ,30.12.2023
BŪVSTRĀDNIEKS,"SIA ""Aveluk Grupa""","Dzirnavu iela 57A - 4, Rīga",1277 ,31.12.2023
SISTĒMANALĪTIĶIS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1800 - 5000 ,01.12.2023
DROŠĪBAS DIENESTA SPECIĀLISTS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1400 - 2100 ,01.12.2023
JUMIĶIS,"Sabiedrība ar ierobežotu atbildību ""SPODRA""","Lubānas iela 17 - 9, Rīga",620 - 750 ,31.12.2023
MAZGĀŠANAS LĪDZEKĻU RAŽOŠANAS OPERATORS,"Sabiedrība ar ierobežotu atbildību ""SPODRA""","Lubānas iela 17 - 9, Rīga",620 - 750 ,31.12.2023
CEHA STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""SPODRA""","Lubānas iela 17 - 9, Rīga",620 - 750 ,31.12.2023
REMONTSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""SPODRA""","Lubānas iela 17 - 9, Rīga",620 - 800 ,31.12.2023
PROJEKTA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""SPODRA""","Lubānas iela 17 - 9, Rīga",620 - 1000 ,31.12.2023
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""ŪDENS TEHNOLOĢIJA""","Ganību dambis 26A, Rīga",1373 - 2000 ,15.01.2024
LIELO KLIENTU VADĪTĀJS,"SIA ""ITELVO""",Rīga,1400 - 2400 ,22.12.2023
ELEKTRIĶIS,"Sabiedrība ar ierobežotu atbildību Specializētā celtniecības-montāžas sabiedrība ""Dzirnakmens""","Lizuma iela 5E, Rīga",1373 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""VIKOTRANS"", Sabiedrība ar ierobežotu atbildību","Višķu iela 2 k-1, Rīga",1373 - 2200 ,31.03.2024
PROGRAMMĒŠANAS INŽENIERIS,SIA Mitigate,"Gustava Zemgala gatve 74A, Rīga",1500 - 3600 ,31.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Riebo""","Gogoļa iela 7, Rīga",1300 - 1400 ,19.12.2023
TEHNISKAIS DIREKTORS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",1500 ,15.12.2023
REMONTSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Fasāde PRO""","Krišjāņa Barona iela 11, Rīga",1400 - 1500 ,01.04.2024
PALĪGSTRĀDNIEKS,UberHint SIA,"Medņu iela 25, Gaidas, Ropažu pag., Ropažu nov.",1373 - 1450 ,31.01.2024
PALĪGSTRĀDNIEKS,"SIA ""Mapava""","Eduarda Smiļģa iela 32 - 19, Rīga",1280 - 1373 ,01.05.2024
PALĪGSTRĀDNIEKS,UberHint SIA,"Rīgas gatve 5A, Ādaži, Ādažu nov.",1373 - 1450 ,30.04.2024
PAŠGĀJĒJA IEKRĀVĒJA VADĪTĀJS,"""PAC Piping and Constructions"", SIA","Ziedu iela 6, Dreiliņi, Stopiņu pag., Ropažu nov.",1373 ,01.04.2024
LOKMETINĀTĀJS METINĀŠANĀ AR MEHANIZĒTO IEKĀRTU AKTĪVĀS GĀZES VIDĒ (MAG),"""PAC Piping and Constructions"", SIA","Ziedu iela 6, Dreiliņi, Stopiņu pag., Ropažu nov.",1373 ,01.04.2024
DROŠĪBAS DIENESTA SPECIĀLISTS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1200 - 1800 ,01.12.2023
NORĒĶINU ADMINISTRATORS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1277 - 1740 ,01.12.2023
PROJEKTA VADĪTĀJS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1400 - 2100 ,01.12.2023
NORĒĶINU ADMINISTRATORS,SKANDINAVISKA ENSKILDA BANKEN AB Rīgas filiāle,"Rīga, Gustava Zemgala gatve 73, LV-1039",1277 - 1740 ,01.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""AMBER SOLUTIONS & SERVICES"", Sabiedrība ar ierobežotu atbildību","Lāpstu iela 4 - 3, Rīga",1373 - 1400 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""Loyal Manpower""","Rītausmas iela 4A, Rīga",1375 ,31.12.2023
PALĪGSTRĀDNIEKS,"SIA ""Flad""",Rīga,1277 - 1373 ,05.12.2023
ĒKAS UN TERITORIJAS DEŽURANTS,"Sabiedrība ar ierobežotu atbildību ""PURON""","Cēsu iela 31 k-3, Rīga",3.6 - 4.5 ,01.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""AUTO HOUSE BALTIC""","Ģertrūdes iela 56, Rīga",1373 - 1400 ,01.12.2023
KRĀSOTĀJS,"Sabiedrība ar ierobežotu atbildību ""Labour scout""",Rīga,1380 - 2000 ,05.01.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Labour scout""",Rīga,1373 - 2000 ,31.12.2023
SANITĀRTEHNISKO IEKĀRTU MONTĒTĀJS,"""PAC Piping and Constructions"", SIA","Ziedu iela 6, Dreiliņi, Stopiņu pag., Ropažu nov.",1373 ,01.04.2024
BETONĒTĀJS,"""PAC Piping and Constructions"", SIA","Ziedu iela 6, Dreiliņi, Stopiņu pag., Ropažu nov.",1373 ,01.04.2024
REMONTSTRĀDNIEKS,SIA Family group,"Matīsa iela 61 - 29, Rīga",1280 - 1300 ,30.12.2023
APDARES DARBU STRĀDNIEKS,"SIA ""REDBRICK montare""",Rīga,1373 - 1400 ,31.12.2023
KRĀSOTĀJS,"""Razer"", Sabiedrība ar ierobežotu atbildību","Kurzemes prospekts 3D, Rīga",1373 ,22.03.2024
BETONĒTĀJS,"""Razer"", Sabiedrība ar ierobežotu atbildību","Kurzemes prospekts 3D, Rīga",1373 ,22.03.2024
Kuģu REMONTATSLĒDZNIEKS,"SIA ""Netaman ships service""","Zivju iela 3 k-2, Rīga",1373 ,07.12.2023
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""DŪŅENIEKI""",Rīga,1373 ,30.04.2024
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Light factory""",Rīga,1373 ,30.09.2024
LIELO KLIENTU VADĪTĀJS,"SIA ""ITELVO""","Duntes iela 23A, Rīga",2500 - 4500 ,22.12.2023
LOKMETINĀTĀJS METINĀŠANĀ AR MEHANIZĒTO IEKĀRTU AKTĪVĀS GĀZES VIDĒ (MAG),"SIA ""Netaman ships service""","Zivju iela 3 k-2, Rīga",1373 ,07.12.2023
TEHNISKAIS STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Sertifikācijas un testēšanas centrs""","Dārza iela 12, Priekuļi, Priekuļu pag., Cēsu nov.",750 ,31.12.2023
EKSPERTS,"Sabiedrība ar ierobežotu atbildību ""Sertifikācijas un testēšanas centrs""","Dārza iela 12, Priekuļi, Priekuļu pag., Cēsu nov.",1000 ,31.12.2023
PROJEKTA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Sertifikācijas un testēšanas centrs""","Dārza iela 12, Priekuļi, Priekuļu pag., Cēsu nov.",1000 ,31.12.2023
Gaisa kuģu lidojumderīguma uzturēšanas avionikas INŽENIERIS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",2000 - 2500 ,31.08.2024
PASTNIEKS,"SIA ""RollWell""","Cēsis, Cēsu nov.",120 - 140 ,30.11.2023
PALĪGSTRĀDNIEKS,"SIA ""Olchem""",Rīga,1300 - 1373 ,01.06.2024
VIESMĪLIS,"SIA ""STREET BURGERS LATVIA""","Blaumaņa iela 10, Rīga",5 - 6 ,30.11.2023
IZOLĒTĀJS,SIA MARITEK,"Daugavgrīvas iela 83, Rīga",1373 ,01.12.2023
ELEKTRIĶIS,"Sabiedrība ar ierobežotu atbildību ""ARLATS""","Ogre, Ogres nov.",1373 - 2300 ,01.01.2024
ELEKTRIĶIS,"Sabiedrība ar ierobežotu atbildību ""AVTEX construction""","Pulka iela 3, Rīga",1373 - 2500 ,01.02.2024
Cauruļvadu MONTĒTĀJS,SIA MARITEK,"Daugavgrīvas iela 83, Rīga",1277 ,01.12.2023
Kuģu REMONTATSLĒDZNIEKS,SIA MARITEK,"Daugavgrīvas iela 83, Rīga",1373 ,01.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""MEGA TRANSPORT"", Sabiedrība ar ierobežotu atbildību","Virbu iela 2, Rīga",1300 ,31.12.2023
KONSULTANTS,"EISF, SIA","Jaunā iela 8, Piņķi, Babītes pag., Babītes nov.",1600 - 3000 ,30.11.2023
TRAKTORTEHNIKAS VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Mežu eksperti""","Piebalgas iela 93, Cēsis, Cēsu nov.",No 1400 ,22.12.2023
REMONTSTRĀDNIEKS,"SIA ""Samles""","Dārzciema iela 60, Rīga",1277 - 1373 ,30.01.2024
CEHA STRĀDNIEKS,"SIA ""Samles""","Dārzciema iela 60, Rīga",1277 - 1373 ,30.01.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""SVL TRANS""",Rīga,1373 - 1600 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,ColliCare Logistics SIA,"Mežkalna iela 5B, Rīga",1373 ,31.12.2023
METĀLA IZSTRĀDĀJUMU MONTĒTĀJS,"""PAC Piping and Constructions"", SIA","Ziedu iela 6, Dreiliņi, Stopiņu pag., Ropažu nov.",1373 ,01.04.2024
GAISA KUĢA STJUARTS,"""Air Baltic Corporation"", AS","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",1200 - 1700 ,04.12.2023
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,"Starptautiskā vidusskola ""Ekziperī"" SIA","Jaunā iela 8, Piņķi, Babītes pag., Mārupes nov.",1277 - 1300 ,31.12.2023
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,"Starptautiskā vidusskola ""Ekziperī"" SIA","Jaunā iela 8, Piņķi, Babītes pag., Mārupes nov.",1277 - 1577 ,31.12.2023
PĀRDOŠANAS SPECIĀLISTA ASISTENTS,"SIA ""AUTO HOUSE BALTIC""","Ģertrūdes iela 56, Rīga",1373 - 1400 ,07.12.2023
TRANSPORTA STRĀDNIEKS,"SIA ""AUTO HOUSE BALTIC""","Ģertrūdes iela 56, Rīga",1373 - 1400 ,24.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""AUTO HOUSE BALTIC""","Ģertrūdes iela 56, Rīga",1373 - 1400 ,21.12.2023
GĀZMETINĀTĀJS (OAW),"SIA ""Terko""","Rīga, Ieriķu iela 66 - 89, LV-1057, kā arī citos pasūtītāju objektos.",1373 - 1400 ,04.12.2023
SERTIFIKĀCIJAS INŽENIERIS,"Sabiedrība ar ierobežotu atbildību ""Sertifikācijas un testēšanas centrs""","Dārza iela 12, Priekuļi, Priekuļu pag., Cēsu nov.",1150 ,31.12.2023
MEISTARS (automobiļu tehniskās apkopes un remonta pakalpojumu jomā),"SIA ""AUTO HOUSE BALTIC""","Ģertrūdes iela 56, Rīga",1373 ,09.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""MVK Baltic"", Sabiedrība ar ierobežotu atbildību","Detlava Brantkalna iela 14 - 44, Rīga",1277 ,31.05.2024
PROGRAMMĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""Open Store""","Slokas iela 12, Rīga",1375 ,31.12.2023
AUTOBUSA VADĪTĀJS,"""NORMA-A"", Sabiedrība ar ierobežotu atbildību","Granīta iela 26A, Rumbula, Stopiņu pag., Ropažu nov.",1500 - 1900 ,30.11.2023
TRAKTORTEHNIKAS VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""LĀČU LEJA""","Piebalgas iela 9 - 3, Cēsis, Cēsu nov.",No 7 ,22.12.2023
REMONTSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""BCS Group""",Rīga,700 - 3000 ,28.04.2024
ŠEFPAVĀRS,SABBLOCK SIA,"Rīgas gatve 5A, Ādaži, Ādažu pag., Ādažu nov.",1300 - 1500 ,31.05.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""Baltic Haulage"", Sabiedrība ar ierobežotu atbildību","Zeļļu iela 25, Rīga",1277 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,Whiteliners SIA,"Daugavgrīvas iela 6, Rīga",1277 ,31.12.2023
ATSLĒDZNIEKS,"SIA ""PETRIKS UN KO""","Jaunarāji, Priekuļu pag., Cēsu nov.",700 - 1000 ,27.12.2023
INTERNISTS,"Valsts sabiedrība ar ierobežotu atbildību ""Strenču psihoneiroloģiskā slimnīca""","Valkas iela 11, Strenči, Valmieras nov.",2123 ,01.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""ADEXTRA""","Rītausmas iela 2B, Rīga",1373 - 2000 ,31.12.2023
PAPĪRA MASAS /PĀRSTRĀDĀŠANAS OPERATORS,"SIA ""V.L.T.""","Mūrmuižas iela 11A, Valmiera, Valmieras nov.",5 - 6.5 ,28.11.2023
TRANSPORTLĪDZEKĻU KRĀSOTĀJS,SIA MARITEK,"Daugavgrīvas iela 83, Rīga",1277 ,01.12.2023
LIELO KLIENTU VADĪTĀJS,"SIA ""ITELVO""",Rīga,1400 - 3000 ,22.12.2023
ELEKTROMONTĀŽAS TEHNIĶIS,SIA Family group,"Matīsa iela 61 - 29, Rīga",1280 - 1300 ,30.12.2023
APDARES DARBU STRĀDNIEKS,SIA Family group,"Matīsa iela 61 - 29, Rīga, LV-1009",1280 - 1300 ,30.12.2023
PAVĀRS,SIA Elevate jobs,"Beverīnas iela 6, Rīga",1400 - 2000 ,01.12.2023
FLĪZĒTĀJS,SIA Family group,"Matīsa iela 61 - 29, Rīga",1280 - 1300 ,30.12.2023
APMETĒJS,SIA Family group,"Matīsa iela 61 - 29, Rīga",1280 - 1300 ,30.12.2023
KUĢUBŪVES ATSLĒDZNIEKS,"SIA ""Right Course""",Rīga,1277 - 1400 ,29.04.2024
RŪPNIECISKO IEKĀRTU MONTIERIS,"SIA ""Right Course""",Rīga,1277 - 1400 ,29.04.2024
ROKAS LOKMETINĀTĀJS (MMA),"SIA ""Right Course""",Rīga,1277 - 1400 ,29.04.2024
Metāla GRIEZĒJS,"SIA ""Right Course""",Rīga,1277 - 1400 ,29.04.2024
LIFTU ELEKTROMEHĀNIĶIS,"SIA ""Rīgas Lifti""","Katlakalna iela 9A, Rīga",1300 ,31.03.2024
KRĀVĒJS (ROKU DARBS),SIA Koka Paletes Latvija,"Krustpils iela 67, Rīga",1373 - 1500 ,27.04.2024
MŪRNIEKS,"Sabiedrība ar ierobežotu atbildību ""BŪVFIRMA LAURA""","Sila iela 37, Spuņciems, Salas pag., Mārupes nov.",1280 - 1300 ,19.04.2024
CEĻOJUMU ORGANIZATORS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",1400 - 1700 ,30.06.2024
METĀLA KONSTRUKCIJU ATSLĒDZNIEKS,"SIA ""MADESTA""","Rencēnu iela 8, Rīga",1277 ,31.12.2023
APDARES DARBU STRĀDNIEKS,"SIA ""Yarohin""","Ganību dambis 26A, Rīga",1277 - 1373 ,02.05.2024
BŪVSTRĀDNIEKS,"Pillar Contractor, SIA","Pulkveža Brieža iela 28A, Rīga",1277 - 1500 ,01.12.2023
Gaisa kuģu lidojumderīguma uzturēšanas SPECIĀLISTS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",4250 - 4300 ,31.12.2023
PALĪGSTRĀDNIEKS,UberHint SIA,"Rītausmas iela 16, Rīga",1373 - 1450 ,29.02.2024
EKSKAVATORA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""PEĻŅI. V""",Cēsu nov.,620 - 1000 ,15.01.2024
KRĀSOTĀJS,UberHint SIA,"Melleņu iela 4, Kadaga, Ādažu pag., Ādažu nov.",1373 - 1450 ,29.02.2024
AUTOMEHĀNIĶA PALĪGS,UberHint SIA,"Muižas iela 17, Ādaži, Ādažu nov.",1373 - 1500 ,30.11.2023
ĢIMENES (VISPĀRĒJĀS PRAKSES) ĀRSTS,"SIA ""Rīgas veselības centrs""","Mežrozīšu iela 43, Rīga",11.45 - 11.7 ,09.12.2023
KRĀSOTĀJS,"SIA ""ALMATEX""","Aviācijas iela 18, Jelgava, Latvija, Brabantsehoek 2, 5071 NM Udenhout, Nīderlandes, kā arī citos pasūtītāju objektos",1273 - 1400 ,31.01.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""SOLOTRANSA"", SIA","Rītausmas iela 2B, Rīga",1373 - 2000 ,31.12.2023
METĀLA KRĀSOŠANAS OPERATORS,"SIA ""Netaman ships service""","Zivju iela 3, Rīga",1373 ,20.12.2023
AUTOBUSA VADĪTĀJS,"Akciju sabiedrība ""CATA""","Jāņa Poruka iela 8, Cēsis, Cēsu nov.",1200 - 1400 ,30.11.2023
PLĀNOŠANAS INŽENIERIS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",2000 - 2500 ,31.03.2024
Lidmašīnas komercPILOTS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",1373 - 1500 ,31.08.2024
MĒBEĻU GALDNIEKS,"SIA ""SENĀS PASAULES MĒBELES""","Lilastes Priedes, Lilaste, Carnikavas pag., Ādažu nov.",1277 ,31.01.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""KRBG""","Uriekstes iela 3, Rīga",1277 ,31.12.2023
FRĒZĒTĀJS,SIA Elbors,"Rīga, Sarkanā iela, 1",1373 ,01.01.2024
DATORIZĒTĀS CIPARU VADĪBAS (CNC) METĀLAPSTRĀDES DARBAGALDU OPERATORS,SIA Elbors,"Rīga, Sarkanā iela, 1",1373 ,01.01.2024
INFORMĀCIJAS IEVADĪŠANAS OPERATORS,"Sabiedrība ar ierobežotu atbildību ""Evolution Latvia""","Brīvības iela 151, Rīga",1373 - 1500 ,30.11.2023
IZOLĒTĀJS,SIA MARITEK,"Daugavgrīvas iela 83, Rīga",1373 ,01.12.2023
TRANSPORTLĪDZEKĻU KRĀSOTĀJS,SIA MARITEK,"Daugavgrīvas iela 83, Rīga",1373 ,01.12.2023
GĀZMETINĀTĀJS (OAW),UberHint SIA,"Rītausmas iela 16, Rīga",1373 - 1500 ,31.05.2024
METĀLMATERIĀLU METINĀTĀJS,"SIA ""MADESTA""","Rencēnu iela 8, Rīga",1277 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""BALTTRANSLAINE"", Sabiedrība ar ierobežotu atbildību","Sniķeres iela 25 k-1, Rīga",1373 ,31.12.2023
SILTUMNĪCAS STRĀDNIEKS,"SIA ""Mārupes Siltumnīcas""","Mazcenu aleja 24, Jaunmārupe, Mārupes pag., Mārupes nov.",1277 - 1400 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,ColliCare Logistics SIA,"Mežkalna iela 5B, Rīga",620 ,31.12.2023
PAŠGĀJĒJA IEKRĀVĒJA VADĪTĀJS,"""PAC Piping and Constructions"", SIA","Ziedu iela 6, Dreiliņi, Stopiņu pag., Ropažu nov.",1373 ,01.04.2024
PAVĀRA PALĪGS,SABBLOCK SIA,"Rīgas gatve 5A, Ādaži, Ādažu pag., Ādažu nov.",1100 - 1500 ,31.05.2024
PAVĀRA PALĪGS,"Sabiedrība ar ierobežotu atbildību ""Sushi Nr.1""","Rīgas gatve 5A, Ādaži, Ādažu pag., Ādažu nov.",1373 - 1500 ,01.07.2024
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Sushi Nr.1""","Rīgas gatve 5A, Ādaži, Ādažu pag., Ādažu nov.",1373 - 1500 ,01.07.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"VelexAuto, SIA","Aizkraukles nov., Aizkraukle, Lāčplēša iela, 29 - 36",1373 - 1500 ,31.03.2024
VILCĒJAUTOMOBIĻA VADĪTĀJS,"SIA ""VelesTrans""","Maskavas iela 450, Rīga",1300 ,30.11.2023
FIZIKĀLĀS UN REHABILITĀCIJAS MEDICĪNAS ĀRSTS,"SIA ""Rīgas veselības centrs""","Mežrozīšu iela 43, Rīga",2000 ,09.12.2023
